max slew

Pin                                    Limit    Slew   Slack
------------------------------------------------------------
u_address_decoder/_434_/Z               0.71   62.67  -61.96 (VIOLATED)
u_address_decoder/_433_/Z               0.71   52.08  -51.37 (VIOLATED)
u_data_mem/_49123_/ZN                   0.71   17.55  -16.83 (VIOLATED)
u_data_mem/_49124_/ZN                   0.71   17.07  -16.36 (VIOLATED)
u_riscv_top/controller/_1813_/ZN        0.71   16.08  -15.36 (VIOLATED)
u_riscv_top/controller/_1817_/ZN        0.71   15.84  -15.13 (VIOLATED)
u_data_mem/_49599_/ZN                   0.71   15.70  -14.99 (VIOLATED)
u_data_mem/_49789_/ZN                   0.71   15.70  -14.99 (VIOLATED)
u_data_mem/_49803_/ZN                   0.71   15.70  -14.99 (VIOLATED)
u_data_mem/_49809_/ZN                   0.71   15.70  -14.99 (VIOLATED)
u_data_mem/_49940_/ZN                   0.71   15.70  -14.99 (VIOLATED)
u_data_mem/_50039_/ZN                   0.71   15.70  -14.99 (VIOLATED)
u_data_mem/_50052_/ZN                   0.71   15.70  -14.99 (VIOLATED)
u_data_mem/_50336_/ZN                   0.71   15.70  -14.99 (VIOLATED)
u_data_mem/_50359_/ZN                   0.71   15.70  -14.99 (VIOLATED)
u_data_mem/_50375_/ZN                   0.71   15.70  -14.99 (VIOLATED)
u_data_mem/_50866_/ZN                   0.71   15.70  -14.99 (VIOLATED)
u_data_mem/_50946_/ZN                   0.71   15.70  -14.99 (VIOLATED)
u_data_mem/_50982_/ZN                   0.71   15.70  -14.99 (VIOLATED)
u_data_mem/_51109_/ZN                   0.71   15.70  -14.99 (VIOLATED)
u_data_mem/_51116_/ZN                   0.71   15.70  -14.99 (VIOLATED)
u_data_mem/_51143_/ZN                   0.71   15.70  -14.99 (VIOLATED)
u_data_mem/_51150_/ZN                   0.71   15.70  -14.99 (VIOLATED)
u_data_mem/_51214_/ZN                   0.71   15.70  -14.99 (VIOLATED)
u_data_mem/_51226_/ZN                   0.71   15.70  -14.99 (VIOLATED)
u_data_mem/_51273_/ZN                   0.71   15.70  -14.99 (VIOLATED)
u_data_mem/_51311_/ZN                   0.71   15.70  -14.99 (VIOLATED)
u_data_mem/_51461_/ZN                   0.71   15.70  -14.99 (VIOLATED)
u_data_mem/_51467_/ZN                   0.71   15.70  -14.99 (VIOLATED)
u_data_mem/_51483_/ZN                   0.71   15.70  -14.99 (VIOLATED)
